included,reason,rel_path,abs_path,ext,size_bytes,mtime_iso
1,ok,heatmaps/pos_20260211_heatmap.html,E:\output\heatmaps\pos_20260211_heatmap.html,.html,27723,2026-02-28T15:44:48
1,ok,heatmaps/pos_20260212_alt_heatmap.html,E:\output\heatmaps\pos_20260212_alt_heatmap.html,.html,31491,2026-02-28T15:44:31
1,ok,heatmaps/pos_20260212_heatmap.html,E:\output\heatmaps\pos_20260212_heatmap.html,.html,29334,2026-02-28T15:44:48
1,ok,heatmaps/pos_20260213_alt_heatmap.html,E:\output\heatmaps\pos_20260213_alt_heatmap.html,.html,33906,2026-02-28T15:44:32
1,ok,heatmaps/pos_20260213_heatmap.html,E:\output\heatmaps\pos_20260213_heatmap.html,.html,31786,2026-02-28T15:44:49
1,ok,heatmaps/pos_20260214_alt_heatmap.html,E:\output\heatmaps\pos_20260214_alt_heatmap.html,.html,35113,2026-02-28T15:44:32
1,ok,heatmaps/pos_20260214_heatmap.html,E:\output\heatmaps\pos_20260214_heatmap.html,.html,32947,2026-02-28T15:44:50
1,ok,heatmaps/pos_20260215_alt_heatmap.html,E:\output\heatmaps\pos_20260215_alt_heatmap.html,.html,35584,2026-02-28T15:44:32
1,ok,heatmaps/pos_20260215_heatmap.html,E:\output\heatmaps\pos_20260215_heatmap.html,.html,33422,2026-02-28T15:44:50
1,ok,heatmaps/pos_20260216_alt_heatmap.html,E:\output\heatmaps\pos_20260216_alt_heatmap.html,.html,31218,2026-02-28T15:44:32
1,ok,heatmaps/pos_20260216_heatmap.html,E:\output\heatmaps\pos_20260216_heatmap.html,.html,29090,2026-02-28T15:44:50
1,ok,heatmaps/pos_20260217_alt_heatmap.html,E:\output\heatmaps\pos_20260217_alt_heatmap.html,.html,30264,2026-02-28T15:44:33
1,ok,heatmaps/pos_20260217_heatmap.html,E:\output\heatmaps\pos_20260217_heatmap.html,.html,28096,2026-02-28T15:44:50
1,ok,heatmaps/pos_20260218_alt_heatmap.html,E:\output\heatmaps\pos_20260218_alt_heatmap.html,.html,30853,2026-02-28T15:44:33
1,ok,heatmaps/pos_20260218_heatmap.html,E:\output\heatmaps\pos_20260218_heatmap.html,.html,28722,2026-02-28T15:44:51
1,ok,heatmaps/pos_20260219_alt_heatmap.html,E:\output\heatmaps\pos_20260219_alt_heatmap.html,.html,30708,2026-02-28T15:44:33
1,ok,heatmaps/pos_20260219_heatmap.html,E:\output\heatmaps\pos_20260219_heatmap.html,.html,28596,2026-02-28T15:44:51
1,ok,heatmaps/pos_20260220_alt_heatmap.html,E:\output\heatmaps\pos_20260220_alt_heatmap.html,.html,30495,2026-02-28T15:44:33
1,ok,heatmaps/pos_20260220_heatmap.html,E:\output\heatmaps\pos_20260220_heatmap.html,.html,28349,2026-02-28T15:44:51
1,ok,heatmaps/pos_20260221_alt_heatmap.html,E:\output\heatmaps\pos_20260221_alt_heatmap.html,.html,31073,2026-02-28T15:44:33
1,ok,heatmaps/pos_20260221_heatmap.html,E:\output\heatmaps\pos_20260221_heatmap.html,.html,28932,2026-02-28T15:44:51
1,ok,heatmaps/pos_20260222_alt_heatmap.html,E:\output\heatmaps\pos_20260222_alt_heatmap.html,.html,35671,2026-02-28T15:44:34
1,ok,heatmaps/pos_20260222_heatmap.html,E:\output\heatmaps\pos_20260222_heatmap.html,.html,33586,2026-02-28T15:44:51
1,ok,heatmaps/pos_20260223_alt_heatmap.html,E:\output\heatmaps\pos_20260223_alt_heatmap.html,.html,36724,2026-02-28T15:44:34
1,ok,heatmaps/pos_20260223_heatmap.html,E:\output\heatmaps\pos_20260223_heatmap.html,.html,34519,2026-02-28T15:44:52
1,ok,heatmaps/pos_20260224_alt_heatmap.html,E:\output\heatmaps\pos_20260224_alt_heatmap.html,.html,30684,2026-02-28T15:44:34
1,ok,heatmaps/pos_20260224_heatmap.html,E:\output\heatmaps\pos_20260224_heatmap.html,.html,28547,2026-02-28T15:44:52
1,ok,heatmaps/pos_20260225_alt_heatmap.html,E:\output\heatmaps\pos_20260225_alt_heatmap.html,.html,26384,2026-02-28T15:44:34
1,ok,heatmaps/pos_20260225_heatmap.html,E:\output\heatmaps\pos_20260225_heatmap.html,.html,24124,2026-02-28T15:44:52
1,ok,heatmaps/pos_20260226_alt_heatmap.html,E:\output\heatmaps\pos_20260226_alt_heatmap.html,.html,32318,2026-02-28T15:44:35
1,ok,heatmaps/pos_20260226_heatmap.html,E:\output\heatmaps\pos_20260226_heatmap.html,.html,30173,2026-02-28T15:44:53
1,ok,heatmaps/pos_20260227_alt_heatmap.html,E:\output\heatmaps\pos_20260227_alt_heatmap.html,.html,34626,2026-02-28T15:44:35
1,ok,heatmaps/pos_20260227_heatmap.html,E:\output\heatmaps\pos_20260227_heatmap.html,.html,32488,2026-02-28T15:44:53
1,ok,heatmaps/pos_20260228_alt_heatmap.html,E:\output\heatmaps\pos_20260228_alt_heatmap.html,.html,12071,2026-02-28T15:44:34
1,ok,heatmaps/pos_20260228_heatmap.html,E:\output\heatmaps\pos_20260228_heatmap.html,.html,9772,2026-02-28T15:44:52
0,ext_not_included,opensky_comparison/capture_by_distance_bin.png,E:\output\opensky_comparison\capture_by_distance_bin.png,.png,55601,2026-02-28T15:50:41
0,ext_not_included,opensky_comparison/capture_heatmap_phase_distance.png,E:\output\opensky_comparison\capture_heatmap_phase_distance.png,.png,48710,2026-02-28T15:50:41
0,ext_not_included,opensky_comparison/capture_ratio_by_phase.png,E:\output\opensky_comparison\capture_ratio_by_phase.png,.png,42353,2026-02-28T15:50:41
0,ext_not_included,opensky_comparison/daily_bin_capture_trend.png,E:\output\opensky_comparison\daily_bin_capture_trend.png,.png,139472,2026-02-28T15:50:42
0,ext_not_included,opensky_comparison/daily_capture_trend.png,E:\output\opensky_comparison\daily_capture_trend.png,.png,79555,2026-02-28T15:50:42
1,ok,opensky_comparison/opensky_comparison_daily_summary.csv,E:\output\opensky_comparison\opensky_comparison_daily_summary.csv,.csv,11526,2026-02-28T15:50:25
1,ok,opensky_comparison/opensky_comparison_stats_report.txt,E:\output\opensky_comparison\opensky_comparison_stats_report.txt,.txt,13028,2026-02-28T15:50:41
1,ok,opensky_comparison/opensky_local_minutely_merged.csv,E:\output\opensky_comparison\opensky_local_minutely_merged.csv,.csv,19596516,2026-02-28T15:50:25
1,ok,opensky_comparison/opensky_skipped_days.csv,E:\output\opensky_comparison\opensky_skipped_days.csv,.csv,6439,2026-02-28T15:50:25
0,ext_not_included,performance/adsb_cuda_evaluator_change_point.png,E:\output\performance\adsb_cuda_evaluator_change_point.png,.png,190576,2026-02-28T15:46:56
0,ext_not_included,performance/adsb_cuda_processor_change_point.png,E:\output\performance\adsb_cuda_processor_change_point.png,.png,88028,2026-02-28T15:47:07
