minute_key,date,date_iso,phase,phase_detail,os_n_total,os_n_used,os_km_max,os_km_avg,local_n_unique,local_km_max,capture_ratio,os_bin_0-50,local_bin_0-50,capture_bin_0-50,os_bin_50-100,local_bin_50-100,capture_bin_50-100,os_bin_100-150,local_bin_100-150,capture_bin_100-150,os_bin_150-200,local_bin_150-200,capture_bin_150-200,os_bin_200-9999,local_bin_200-9999,capture_bin_200-9999
29445102,20251225,2025-12-25,RTL-SDR,Unknown,18,15,216.948,82.726,0,0.0,0.0,5.257992148065059,0,0.0,5.7095729796109795,0,0.0,2.2949705276309733,0,0.0,1.3511587283545479,0,0.0,0.3863056163384404,0,
29445103,20251225,2025-12-25,RTL-SDR,Unknown,20,13,176.583,72.784,0,0.0,0.0,5.490050339538498,0,0.0,4.632380943184017,0,0.0,2.4600515008947377,0,0.0,0.41751721638274775,0,,0.0,0,
29445104,20251225,2025-12-25,RTL-SDR,Unknown,17,14,116.038,68.172,0,0.0,0.0,5.7915377360051625,0,0.0,5.032649763994837,0,0.0,3.1758125,0,0.0,0.0,0,,0.0,0,
29445105,20251225,2025-12-25,RTL-SDR,Unknown,14,12,124.639,62.584,0,0.0,0.0,6.096264507948893,0,0.0,3.87064196687125,0,0.0,2.0330935251798565,0,0.0,0.0,0,,0.0,0,
29445106,20251225,2025-12-25,RTL-SDR,Unknown,17,14,134.054,64.208,0,0.0,0.0,6.861130714341724,0,0.0,4.4741487335948715,0,0.0,2.6647205520634047,0,0.0,0.0,0,,0.0,0,
29445107,20251225,2025-12-25,RTL-SDR,Unknown,18,14,134.964,60.883,0,0.0,0.0,7.1209551148225465,0,0.0,4.755460287363781,0,0.0,2.1235845978136725,0,0.0,0.0,0,,0.0,0,
29445108,20251225,2025-12-25,RTL-SDR,Unknown,20,15,147.025,72.212,0,0.0,0.0,6.32890029028556,0,0.0,5.063911666064275,0,0.0,3.607188043650165,0,0.0,0.0,0,,0.0,0,
29445109,20251225,2025-12-25,RTL-SDR,Unknown,22,18,164.62,87.148,0,0.0,0.0,6.2647918696923295,0,0.0,4.897142128772752,0,0.0,4.523641769156017,0,0.0,2.3144242323789017,0,0.0,0.0,0,
29445110,20251225,2025-12-25,RTL-SDR,Unknown,24,17,171.501,72.114,0,0.0,0.0,6.446915340624668,0,0.0,7.341755017196999,0,0.0,2.258656374851599,0,0.0,0.9526732673267335,0,0.0,0.0,0,
29445111,20251225,2025-12-25,RTL-SDR,Unknown,22,17,178.718,81.704,0,0.0,0.0,5.633989527407701,0,0.0,7.150725166182732,0,0.0,2.649721130555477,0,0.0,1.5655641758540897,0,0.0,0.0,0,
29445112,20251225,2025-12-25,RTL-SDR,Unknown,24,21,194.183,88.522,0,0.0,0.0,6.225247231247184,0,0.0,7.490521458149127,0,0.0,4.789888455954684,0,0.0,2.494342854649006,0,0.0,0.0,0,
29445113,20251225,2025-12-25,RTL-SDR,Unknown,24,21,170.817,80.556,0,0.0,0.0,6.5644693408022405,0,0.0,8.227789355915055,0,0.0,5.423012000489567,0,0.0,0.7847293027931371,0,0.0,0.0,0,
29445114,20251225,2025-12-25,RTL-SDR,Unknown,24,19,185.194,83.18,0,0.0,0.0,5.587972330713849,0,0.0,6.960777883290603,0,0.0,5.2909345371292416,0,0.0,1.160315248866307,0,0.0,0.0,0,
29445115,20251225,2025-12-25,RTL-SDR,Unknown,22,18,198.177,81.531,0,0.0,0.0,5.469794578825818,0,0.0,6.50104992519563,0,0.0,5.06289605215923,0,0.0,0.9662594438193217,0,0.0,0.0,0,
29445116,20251225,2025-12-25,RTL-SDR,Unknown,21,18,152.249,77.186,0,0.0,0.0,5.75697873755853,0,0.0,5.977436268564146,0,0.0,6.149076618812568,0,0.0,0.11650837506475553,0,,0.0,0,
29445117,20251225,2025-12-25,RTL-SDR,Unknown,25,22,228.536,85.727,0,0.0,0.0,5.917541745567224,0,0.0,7.120372448624869,0,0.0,7.277467159173147,0,0.0,1.2346724000570595,0,0.0,0.4499462465777002,0,
29445118,20251225,2025-12-25,RTL-SDR,Unknown,23,19,151.327,74.642,0,0.0,0.0,7.077826287791867,0,0.0,6.399331298766178,0,0.0,5.095937570908939,0,0.0,0.4269048425330164,0,,0.0,0,
29445119,20251225,2025-12-25,RTL-SDR,Unknown,22,15,168.41,71.588,0,0.0,0.0,7.034459472134161,0,0.0,3.2350076437432236,0,0.0,3.150775542412481,0,0.0,1.579757341710134,0,0.0,0.0,0,
29445120,20251226,2025-12-26,RTL-SDR,Unknown,23,18,176.265,76.283,0,0.0,0.0,8.53032055049002,0,0.0,3.7208683783271685,0,0.0,3.8639973263143332,0,0.0,1.884813744868479,0,0.0,0.0,0,
